2021-04-14 15:59:32,097 semantic_segmentation INFO: Using 1 GPUs
2021-04-14 15:59:32,097 semantic_segmentation INFO: Namespace(aux=False, aux_weight=0.4, backbone='dualresnet', base_size=1040, batch_size=5, crop_size=1024, data_path='/home/mohi/projects/pytorch-sem-seg/awesome-semantic-segmentation-pytorch/datasets/citys', dataset='citys', device='cuda', distributed=False, epochs=250, jpu=False, local_rank=0, log_dir='runs/logs/', log_iter=10, lr=0.003, model='ddrnet_23', momentum=0.9, nclass=19, no_cuda=False, num_gpus=1, resume=None, save_dir='trained_models/', save_epoch=1, skip_val=False, start_epoch=0, use_ohem=True, val_epoch=1, warmup_factor=0.3333333333333333, warmup_iters=0, warmup_method='linear', weight_decay=0.0001, workers=4)
2021-04-14 15:59:33,663 semantic_segmentation INFO: Start training, Total Epochs: 250 = Total Iterations 148750
2021-04-14 15:59:41,274 semantic_segmentation INFO: Iters: 10/148750 || Lr: 0.003000 || Loss: 3.5440 || Cost Time: 0:00:07 || Estimated Time: 1 day, 6:45:36
2021-04-19 10:29:44,815 semantic_segmentation INFO: Model restored successfully!!!!
2021-04-19 10:29:44,816 semantic_segmentation INFO: Start validation, Total sample: 500
2021-04-19 10:29:46,728 semantic_segmentation INFO: Sample: 1, validation pixAcc: 92.057, mIoU: 31.991
2021-04-19 10:29:46,819 semantic_segmentation INFO: Sample: 2, validation pixAcc: 93.846, mIoU: 50.556
2021-04-19 10:29:46,909 semantic_segmentation INFO: Sample: 3, validation pixAcc: 94.162, mIoU: 52.323
2021-04-19 10:29:46,999 semantic_segmentation INFO: Sample: 4, validation pixAcc: 94.449, mIoU: 53.900
2021-04-19 10:29:47,096 semantic_segmentation INFO: Sample: 5, validation pixAcc: 94.757, mIoU: 54.169
2021-04-19 10:29:47,195 semantic_segmentation INFO: Sample: 6, validation pixAcc: 91.313, mIoU: 53.959
2021-04-19 10:29:47,291 semantic_segmentation INFO: Sample: 7, validation pixAcc: 92.320, mIoU: 54.253
2021-04-19 10:29:47,459 semantic_segmentation INFO: Sample: 8, validation pixAcc: 91.341, mIoU: 54.818
2021-04-19 10:29:47,555 semantic_segmentation INFO: Sample: 9, validation pixAcc: 91.384, mIoU: 58.587
2021-04-19 10:29:47,652 semantic_segmentation INFO: Sample: 10, validation pixAcc: 91.546, mIoU: 61.323
2021-04-19 10:29:47,761 semantic_segmentation INFO: Sample: 11, validation pixAcc: 91.483, mIoU: 61.201
2021-04-19 10:29:47,880 semantic_segmentation INFO: Sample: 12, validation pixAcc: 91.845, mIoU: 63.129
2021-04-19 10:29:47,972 semantic_segmentation INFO: Sample: 13, validation pixAcc: 92.395, mIoU: 62.632
2021-04-19 10:29:48,104 semantic_segmentation INFO: Sample: 14, validation pixAcc: 91.467, mIoU: 60.997
2021-04-19 10:29:48,199 semantic_segmentation INFO: Sample: 15, validation pixAcc: 91.917, mIoU: 60.325
2021-04-19 10:29:48,308 semantic_segmentation INFO: Sample: 16, validation pixAcc: 91.727, mIoU: 59.359
2021-04-19 10:29:48,406 semantic_segmentation INFO: Sample: 17, validation pixAcc: 92.043, mIoU: 59.381
2021-04-19 10:29:48,523 semantic_segmentation INFO: Sample: 18, validation pixAcc: 92.186, mIoU: 60.637
2021-04-19 10:29:48,667 semantic_segmentation INFO: Sample: 19, validation pixAcc: 92.361, mIoU: 61.035
2021-04-19 10:29:48,766 semantic_segmentation INFO: Sample: 20, validation pixAcc: 92.637, mIoU: 63.886
2021-04-19 10:29:48,861 semantic_segmentation INFO: Sample: 21, validation pixAcc: 92.729, mIoU: 63.706
2021-04-19 10:29:49,006 semantic_segmentation INFO: Sample: 22, validation pixAcc: 92.963, mIoU: 63.706
2021-04-19 10:29:49,134 semantic_segmentation INFO: Sample: 23, validation pixAcc: 93.134, mIoU: 64.493
2021-04-19 10:29:49,264 semantic_segmentation INFO: Sample: 24, validation pixAcc: 93.306, mIoU: 64.273
2021-04-19 10:29:49,394 semantic_segmentation INFO: Sample: 25, validation pixAcc: 93.496, mIoU: 64.383
2021-04-19 10:29:49,492 semantic_segmentation INFO: Sample: 26, validation pixAcc: 93.613, mIoU: 64.453
2021-04-19 10:29:49,608 semantic_segmentation INFO: Sample: 27, validation pixAcc: 93.399, mIoU: 64.077
2021-04-19 10:29:49,751 semantic_segmentation INFO: Sample: 28, validation pixAcc: 93.256, mIoU: 64.084
2021-04-19 10:29:49,846 semantic_segmentation INFO: Sample: 29, validation pixAcc: 93.409, mIoU: 64.025
2021-04-19 10:29:49,939 semantic_segmentation INFO: Sample: 30, validation pixAcc: 93.250, mIoU: 65.276
2021-04-19 10:29:50,040 semantic_segmentation INFO: Sample: 31, validation pixAcc: 93.274, mIoU: 65.254
2021-04-19 10:29:50,140 semantic_segmentation INFO: Sample: 32, validation pixAcc: 93.378, mIoU: 65.365
2021-04-19 10:29:50,237 semantic_segmentation INFO: Sample: 33, validation pixAcc: 93.252, mIoU: 65.763
2021-04-19 10:29:50,337 semantic_segmentation INFO: Sample: 34, validation pixAcc: 93.370, mIoU: 65.695
2021-04-19 10:29:50,453 semantic_segmentation INFO: Sample: 35, validation pixAcc: 93.498, mIoU: 65.839
2021-04-19 10:29:50,581 semantic_segmentation INFO: Sample: 36, validation pixAcc: 93.508, mIoU: 66.532
2021-04-19 10:29:50,676 semantic_segmentation INFO: Sample: 37, validation pixAcc: 93.607, mIoU: 66.906
2021-04-19 10:29:50,772 semantic_segmentation INFO: Sample: 38, validation pixAcc: 93.674, mIoU: 66.821
2021-04-19 10:29:50,879 semantic_segmentation INFO: Sample: 39, validation pixAcc: 93.612, mIoU: 66.926
2021-04-19 10:29:50,982 semantic_segmentation INFO: Sample: 40, validation pixAcc: 93.718, mIoU: 67.904
2021-04-19 10:29:51,076 semantic_segmentation INFO: Sample: 41, validation pixAcc: 93.768, mIoU: 68.157
2021-04-19 10:29:51,199 semantic_segmentation INFO: Sample: 42, validation pixAcc: 93.841, mIoU: 68.182
2021-04-19 10:29:51,323 semantic_segmentation INFO: Sample: 43, validation pixAcc: 93.774, mIoU: 68.302
2021-04-19 10:29:51,413 semantic_segmentation INFO: Sample: 44, validation pixAcc: 93.870, mIoU: 68.334
2021-04-19 10:29:51,510 semantic_segmentation INFO: Sample: 45, validation pixAcc: 93.978, mIoU: 68.395
2021-04-19 10:29:51,606 semantic_segmentation INFO: Sample: 46, validation pixAcc: 94.028, mIoU: 68.359
2021-04-19 10:29:51,701 semantic_segmentation INFO: Sample: 47, validation pixAcc: 93.978, mIoU: 67.992
2021-04-19 10:29:51,835 semantic_segmentation INFO: Sample: 48, validation pixAcc: 94.004, mIoU: 68.035
2021-04-19 10:29:51,986 semantic_segmentation INFO: Sample: 49, validation pixAcc: 94.078, mIoU: 68.023
2021-04-19 10:29:52,079 semantic_segmentation INFO: Sample: 50, validation pixAcc: 94.152, mIoU: 68.080
2021-04-19 10:29:52,174 semantic_segmentation INFO: Sample: 51, validation pixAcc: 94.155, mIoU: 68.005
2021-04-19 10:29:52,268 semantic_segmentation INFO: Sample: 52, validation pixAcc: 94.101, mIoU: 67.026
2021-04-19 10:29:52,383 semantic_segmentation INFO: Sample: 53, validation pixAcc: 94.101, mIoU: 67.057
2021-04-19 10:29:52,480 semantic_segmentation INFO: Sample: 54, validation pixAcc: 94.187, mIoU: 67.166
